Name	Year	Country Code	Country	 Region 	Europe	Continent	Access Number	Subtype
02BIAM0265	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260265	C
02BIAM0236	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260236	C
02BIAM0321	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260321	C
02BIAM0320	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260320	C
02BIAM0318	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260318	C
02BIAM0317	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260317	C
02BIAM0316	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260316	C
02BIAM0314	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260314	C
02BIAM0312	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260312	C
02BIAM0311	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260311	C
02BIAM0310	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260310	C
02BIAM0309	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260309	C
02BIAM0308	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260308	C
02BIAM0307	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260307	C
02BIAM0306	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260306	C
02BIAM0305	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260305	C
02BIAM0304	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260304	C
02BIAM0303	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260303	C
02BIAM0302	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260302	C
02BIAM0301	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260301	C
02BIAM0300	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260300	C
02BIAM0299	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260299	C
02BIAM0298	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260298	C
02BIAM0297	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260297	C
02BIAM0296	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260296	C
02BIAM0295	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260295	C
02BIAM0294	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260294	C
02BIAM0293	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260293	C
02BIAM0292	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260292	C
02BIAM0291	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260291	C
02BIAM0290	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260290	C
02BIAM0288	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260288	C
02BIAM0287	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260287	C
02BIAM0286	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260286	C
02BIAM0285	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260285	C
02BIAM0283	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260283	C
02BIAM0282	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260282	C
02BIAM0281	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260281	C
02BIAM0280	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260280	C
02BIAM0279	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260279	C
02BIAM0278	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260278	C
02BIAM0277	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260277	C
02BIAM0276	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260276	C
02BIAM0275	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260275	C
02BIAM0274	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260274	C
02BIAM0273	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260273	C
02BIAM0272	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260272	C
02BIAM0271	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260271	C
02BIAM0270	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260270	C
02BIAM0269	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260269	C
02BIAM0268	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260268	C
02BIAM0267	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260267	C
02BIAM0266	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260266	C
02BIAM0264	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260264	C
02BIAM0263	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260263	C
02BIAM0262	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260262	C
02BIAM0261	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260261	C
02BIAM0259	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260259	C
02BIAM0258	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260258	C
02BIAM0257	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260257	C
02BIAM0256	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260256	C
02BIAM0252	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260252	C
02BIAM0251	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260251	C
02BIAM0250	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260250	C
02BIAM0249	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260249	C
02BIAM0248	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260248	C
02BIAM0247	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260247	C
02BIAM0246	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260246	C
02BIAM0245	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260245	C
02BIAM0244	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260244	C
02BIAM0243	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260243	C
02BIAM0242	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260242	C
02BIAM0241	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260241	C
02BIAM0239	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260239	C
02BIAM0238	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260238	C
02BIAM0237	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260237	C
02BIAM0235	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260235	C
02BIAM0234	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260234	C
02BIAM0233	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260233	C
02BIAM0232	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260232	C
02BIAM0229	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260229	C
02BIAM0228	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260228	C
02BIAM0227	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260227	C
02BIAM0226	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260226	C
02BIAM0225	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260225	C
02BIAM0223	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260223	C
02BIAM0222	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260222	C
02BIAM0221	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260221	C
02BIAM0220	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260220	C
02BIAM0219	2002	BI	Burundi	EastAfrica	EastAfrica	OtherAfrica	AM260219	C
06BRGQ4621	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	GQ294621	C
09BRHQ7603	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HQ127603	C
09BRHQ7596	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HQ127596	C
09BRHQ7560	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HQ127560	C
09BRHQ7550	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HQ127550	C
09BRHQ7529	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HQ127529	C
09BRHQ7526	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HQ127526	C
09BRHQ7522	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HQ127522	C
09BRHQ7521	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HQ127521	C
09BRHQ7515	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HQ127515	C
09BRHQ7499	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HQ127499	C
09BRHQ7462	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HQ127462	C
06BREU0754	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	EU340754	C
06BREU0751	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	EU340751	C
06BREU0749	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	EU340749	C
06BREU0747	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	EU340747	C
06BREU0746	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	EU340746	C
06BREU0744	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	EU340744	C
06BREU0736	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	EU340736	C
06BREU0730	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	EU340730	C
06BREU0725	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	EU340725	C
05BREU0722	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	EU340722	C
05BREU0715	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	EU340715	C
05BREU0713	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	EU340713	C
05BREU0711	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	EU340711	C
04BREU0709	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	EU340709	C
04BREU0708	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	EU340708	C
03BRFJ1975	2003	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591975	C
03BRFJ1967	2003	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591967	C
03BRFJ1958	2003	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591958	C
03BRFJ1957	2003	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591957	C
03BRFJ1955	2003	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591955	C
03BRFJ1954	2003	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591954	C
03BRFJ1953	2003	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591953	C
02BRFJ1920	2002	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591920	C
03BRFJ1899	2003	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591899	C
02BRFJ1853	2002	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591853	C
02BRFJ1836	2002	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591836	C
06BRFJ1731	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591731	C
06BRFJ1716	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591716	C
05BRFJ1651	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591651	C
05BRFJ1648	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591648	C
04BRFJ1606	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591606	C
04BRFJ1605	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591605	C
04BRFJ1602	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591602	C
04BRFJ1597	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591597	C
04BRFJ1594	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591594	C
04BRFJ1592	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591592	C
04BRFJ1590	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591590	C
04BRFJ1578	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591578	C
04BRFJ1574	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591574	C
04BRFJ1563	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591563	C
04BRFJ1560	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591560	C
04BRFJ1557	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591557	C
06BRFJ1555	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591555	C
06BRFJ1552	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591552	C
06BRFJ1551	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591551	C
06BRFJ1548	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591548	C
06BRFJ1545	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591545	C
06BRFJ1541	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591541	C
06BRFJ1529	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591529	C
06BRFJ1527	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591527	C
06BRFJ1526	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591526	C
06BRFJ1524	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591524	C
06BRFJ1507	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591507	C
06BRFJ1506	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591506	C
06BRFJ1489	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591489	C
06BRFJ1475	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591475	C
06BRFJ1470	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591470	C
06BRFJ1468	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591468	C
06BRFJ1466	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591466	C
06BRFJ1458	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591458	C
06BRFJ1456	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591456	C
06BRFJ1455	2006	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591455	C
05BRFJ1444	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591444	C
05BRFJ1441	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591441	C
05BRFJ1440	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591440	C
05BRFJ1436	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591436	C
05BRFJ1430	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591430	C
05BRFJ1425	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591425	C
05BRFJ1423	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591423	C
05BRFJ1420	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591420	C
05BRFJ1417	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591417	C
05BRFJ1414	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591414	C
05BRFJ1411	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591411	C
05BRFJ1403	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591403	C
05BRFJ1402	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591402	C
05BRFJ1393	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591393	C
05BRFJ1392	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591392	C
05BRFJ1389	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591389	C
05BRFJ1388	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591388	C
05BRFJ1387	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591387	C
05BRFJ1381	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591381	C
05BRFJ1376	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591376	C
05BRFJ1368	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591368	C
05BRFJ1344	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591344	C
05BRFJ1342	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591342	C
05BRFJ1339	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591339	C
05BRFJ1334	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591334	C
05BRFJ1331	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591331	C
05BRFJ1327	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591327	C
05BRFJ1324	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591324	C
05BRFJ1320	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591320	C
05BRFJ1318	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591318	C
05BRFJ1317	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591317	C
05BRFJ1316	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591316	C
05BRFJ1315	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591315	C
05BRFJ1306	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591306	C
05BRFJ1303	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591303	C
05BRFJ1302	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591302	C
05BRFJ1296	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591296	C
05BRFJ1293	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591293	C
05BRFJ1292	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591292	C
05BRFJ1289	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591289	C
05BRFJ1287	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591287	C
05BRFJ1281	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591281	C
05BRFJ1279	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591279	C
05BRFJ1277	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591277	C
05BRFJ1268	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591268	C
05BRFJ1264	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591264	C
05BRFJ1260	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591260	C
04BRFJ1248	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591248	C
04BRFJ1242	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591242	C
04BRFJ1238	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591238	C
04BRFJ1232	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591232	C
04BRFJ1225	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591225	C
04BRFJ1219	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591219	C
04BRFJ1217	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591217	C
04BRFJ1215	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591215	C
04BRFJ1214	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591214	C
04BRFJ1203	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591203	C
04BRFJ1196	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591196	C
04BRFJ1195	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591195	C
07BRFJ1190	2007	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591190	C
05BRFJ1188	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591188	C
04BRFJ1181	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591181	C
04BRFJ1180	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591180	C
04BRFJ1176	2004	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ591176	C
92BRU52953	1992	BR	Brazil	SouthAmerica	SouthAmerica	America	U52953	C
03BRFJ4207	2003	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ784207	C
03BRFJ4199	2003	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ784199	C
02BRAY0190	2002	BR	Brazil	SouthAmerica	SouthAmerica	America	AY390190	C
02BRAY0188	2002	BR	Brazil	SouthAmerica	SouthAmerica	America	AY390188	C
07BRFJ8791	2007	BR	Brazil	SouthAmerica	SouthAmerica	America	FJ548791	C
07BRHM5482	2007	BR	Brazil	SouthAmerica	SouthAmerica	America	HM025482	C
07BRHM5475	2007	BR	Brazil	SouthAmerica	SouthAmerica	America	HM025475	C
05BRHM4864	2005	BR	Brazil	SouthAmerica	SouthAmerica	America	HM024864	C
09BRHM4197	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HM534197	C
09BRHM4190	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HM534190	C
09BRHM4185	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HM534185	C
09BRHM4176	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HM534176	C
09BRHM4131	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HM534131	C
09BRHM4122	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HM534122	C
09BRHM4117	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HM534117	C
09BRHM4088	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HM534088	C
09BRHM4043	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HM534043	C
09BRHM4030	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HM534030	C
09BRHM4022	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HM534022	C
09BRHM4020	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HM534020	C
09BRHM4017	2009	BR	Brazil	SouthAmerica	SouthAmerica	America	HM534017	C
07BRGQ1330	2007	BR	Brazil	SouthAmerica	SouthAmerica	America	GQ401330	C
07BRGQ1326	2007	BR	Brazil	SouthAmerica	SouthAmerica	America	GQ401326	C
07BRGQ1324	2007	BR	Brazil	SouthAmerica	SouthAmerica	America	GQ401324	C
07BRGQ1322	2007	BR	Brazil	SouthAmerica	SouthAmerica	America	GQ401322	C
07BRGQ1321	2007	BR	Brazil	SouthAmerica	SouthAmerica	America	GQ401321	C
07BRGQ1320	2007	BR	Brazil	SouthAmerica	SouthAmerica	America	GQ401320	C
07BRGQ1315	2007	BR	Brazil	SouthAmerica	SouthAmerica	America	GQ401315	C
07BRGQ1312	2007	BR	Brazil	SouthAmerica	SouthAmerica	America	GQ401312	C
